datetime,Date,Hour,Station,demand,temp,rhum,prcp,wspd,pres,cldc,coco,day_of_week,is_weekend,is_public_holiday,is_major_city_event,is_working_day_proxy,is_day_before_public_holiday,is_day_after_public_holiday,demand_lag_1h,demand_lag_2h,demand_lag_3h,demand_lag_24h,demand_lag_168h,target_next_hour,rolling_mean_3h,rolling_mean_6h,rolling_mean_24h,day_of_week_num,month_num,hour_sin,hour_cos
2025-08-11 07:00:00,2025-08-11,7,Huskur Road,57,25.4,71,0.0,17.6,1011.7,8,3.0,Monday,0,0,0,1,0,0,17.0,0.0,0.0,,,98.0,18.5,10.571428571428571,9.25,0,8,0.9659258262890683,-0.25881904510252063
2025-08-11 08:00:00,2025-08-11,8,Huskur Road,98,25.2,70,0.0,19.4,1010.7,8,3.0,Monday,0,0,0,1,0,0,57.0,17.0,0.0,,,91.0,43.0,24.571428571428573,19.11111111111111,0,8,0.8660254037844387,-0.4999999999999998
2025-08-11 09:00:00,2025-08-11,9,Huskur Road,91,26.4,73,0.0,5.4,1009.8,6,3.0,Monday,0,0,0,1,0,0,98.0,57.0,17.0,,,82.0,65.75,37.57142857142857,26.3,0,8,0.7071067811865476,-0.7071067811865475
2025-08-11 10:00:00,2025-08-11,10,Huskur Road,82,24.7,70,0.0,16.9,1008.4,7,3.0,Monday,0,0,0,1,0,0,91.0,98.0,57.0,,,91.0,82.0,49.285714285714285,31.363636363636363,0,8,0.49999999999999994,-0.8660254037844387
2025-08-11 11:00:00,2025-08-11,11,Huskur Road,91,24.7,68,0.0,18.4,1008.1,5,3.0,Monday,0,0,0,1,0,0,82.0,91.0,98.0,,,119.0,90.5,62.285714285714285,36.333333333333336,0,8,0.258819045102521,-0.9659258262890682
2025-08-11 12:00:00,2025-08-11,12,Huskur Road,119,24.2,89,0.0,5.4,1008.3,7,3.0,Monday,0,0,0,1,0,0,91.0,82.0,91.0,,,91.0,95.75,79.28571428571429,42.69230769230769,0,8,1.2246467991473532e-16,-1.0
2025-08-11 13:00:00,2025-08-11,13,Huskur Road,91,23.3,75,0.0,14.0,1009.0,5,3.0,Monday,0,0,0,1,0,0,119.0,91.0,82.0,,,98.0,95.75,89.85714285714286,46.142857142857146,0,8,-0.2588190451025208,-0.9659258262890683
2025-08-11 14:00:00,2025-08-11,14,Huskur Road,98,20.8,88,0.0,13.7,1011.1,8,3.0,Monday,0,0,0,1,0,0,91.0,119.0,91.0,,,95.0,99.75,95.71428571428571,49.6,0,8,-0.4999999999999997,-0.8660254037844388
2025-08-11 15:00:00,2025-08-11,15,Huskur Road,95,23.2,86,0.0,5.4,1011.9,7,3.0,Monday,0,0,0,1,0,0,98.0,91.0,119.0,,,128.0,100.75,95.28571428571429,52.4375,0,8,-0.7071067811865471,-0.7071067811865479
2025-08-11 16:00:00,2025-08-11,16,Huskur Road,128,21.0,88,0.0,13.3,1012.2,8,3.0,Monday,0,0,0,1,0,0,95.0,98.0,91.0,,,131.0,103.0,100.57142857142857,56.88235294117647,0,8,-0.8660254037844385,-0.5000000000000004
