datetime,Date,station,target_next_hour,Hour,day_of_week_num,month_num,hour_sin,hour_cos,is_weekend,is_public_holiday,is_major_city_event,is_working_day_proxy,is_day_before_public_holiday,is_day_after_public_holiday
2025-09-07 22:00:00,2025-09-07,Hosa Road,0.0,22,6,9,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0
2025-09-07 23:00:00,2025-09-07,Hosa Road,0.0,23,6,9,-0.25881904510252157,0.9659258262890681,1,0,0,0,0,0
2025-09-08 00:00:00,2025-09-08,Hosa Road,0.0,0,0,9,0.0,1.0,0,0,0,1,0,0
2025-09-08 01:00:00,2025-09-08,Hosa Road,0.0,1,0,9,0.25881904510252074,0.9659258262890683,0,0,0,1,0,0
2025-09-08 02:00:00,2025-09-08,Hosa Road,0.0,2,0,9,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0
2025-09-08 03:00:00,2025-09-08,Hosa Road,0.0,3,0,9,0.7071067811865476,0.7071067811865476,0,0,0,1,0,0
2025-09-08 04:00:00,2025-09-08,Hosa Road,0.0,4,0,9,0.8660254037844386,0.5000000000000001,0,0,0,1,0,0
2025-09-08 05:00:00,2025-09-08,Hosa Road,78.0,5,0,9,0.9659258262890683,0.25881904510252074,0,0,0,1,0,0
2025-09-08 06:00:00,2025-09-08,Hosa Road,253.0,6,0,9,1.0,6.123233995736766e-17,0,0,0,1,0,0
2025-09-08 07:00:00,2025-09-08,Hosa Road,408.0,7,0,9,0.9659258262890683,-0.25881904510252063,0,0,0,1,0,0
2025-09-08 08:00:00,2025-09-08,Hosa Road,425.0,8,0,9,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,0
2025-09-08 09:00:00,2025-09-08,Hosa Road,309.0,9,0,9,0.7071067811865476,-0.7071067811865475,0,0,0,1,0,0
2025-09-08 10:00:00,2025-09-08,Hosa Road,193.0,10,0,9,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0
2025-09-08 11:00:00,2025-09-08,Hosa Road,155.0,11,0,9,0.258819045102521,-0.9659258262890682,0,0,0,1,0,0
2025-09-08 12:00:00,2025-09-08,Hosa Road,113.0,12,0,9,1.2246467991473532e-16,-1.0,0,0,0,1,0,0
2025-09-08 13:00:00,2025-09-08,Hosa Road,84.0,13,0,9,-0.2588190451025208,-0.9659258262890683,0,0,0,1,0,0
2025-09-08 14:00:00,2025-09-08,Hosa Road,104.0,14,0,9,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0,0
2025-09-08 15:00:00,2025-09-08,Hosa Road,153.0,15,0,9,-0.7071067811865471,-0.7071067811865479,0,0,0,1,0,0
2025-09-08 16:00:00,2025-09-08,Hosa Road,190.0,16,0,9,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0,0
